"","namestmin","r2","es"
"7785","w_31_197",0.0718422460691297,0.434630270262752
"12166","w_47_190",0.0718153446500621,0.494136856954774
"8067","w_32_197.5",0.0718108327330078,0.439173173725612
"6352","w_26_187.5",0.0717940524734942,0.322936971487754
"7790","w_31_201",0.0717933531150258,0.445452660038584
"465","w_6_241.5",0.0717862674108548,0.294261764981716
"8651","w_34_219.5",0.0717602811174263,0.504772940898951
"7243","w_29_219",0.0717581900500812,0.472033814222616
"6362","w_26_196.5",0.0717349277269165,0.396299611359356
"6117","w_25_235",0.0717286815322233,0.445847072983087
"9469","w_37_206",0.0717228544942479,0.476522351569337
"7491","w_30_186.5",0.0716897385142948,0.335287126084357
"5794","w_24_203.5",0.0716733378690401,0.392571689860485
"1942","w_11_198",0.0716682827645785,0.266465631600352
"475","w_6_250.5",0.0716656532278281,0.277016325356479
"5219","w_22_208.5",0.0716586204979031,0.414608147568563
"5536","w_23_232",0.0716571856307708,0.406874059538101
"11898","w_46_189.5",0.0716367207664307,0.489452593236337
"8634","w_34_203.5",0.0716285388690276,0.458504625605577
"15549","w_60_193.5",0.07158456352398,0.522435022451437
"9192","w_36_205.5",0.0715842802044723,0.469147993524575
"3497","w_16_248.5",0.0715798113091001,0.396714341343101
"4674","w_20_243.5",0.0715755205048613,0.433563315784467
"8077","w_32_206.5",0.0715252337764329,0.438944803374862
"7209","w_29_188",0.0715213914848013,0.335383398200035
"4041","w_18_203.5",0.0715150739158675,0.380095181693701
"14784","w_57_193",0.071506430960287,0.51799496431573
"4370","w_19_234",0.0714955064556009,0.3668992227043
"7219","w_29_197",0.0714897808833467,0.424431611508079
"7533","w_30_224.5",0.071459798181146,0.475451452262237
"9171","w_36_186.5",0.0714563362400287,0.379808520647886
"3468","w_16_221.5",0.0714509551318429,0.356502680562547
"3123","w_15_179",0.0714181062726656,0.275245573256126
"6669","w_27_215",0.0713705865515278,0.427801781291633
"12189","w_47_213",0.0713526784977536,0.514868570234359
"7793","w_31_204",0.0713478217599265,0.438436568639363
"5773","w_24_184.5",0.0713477236164624,0.308802347164381
"10860","w_42_227.5",0.071311442639198,0.578246350845112
"8355","w_33_204",0.07130408318614,0.451596968143146
"8638","w_34_207.5",0.0712921281443618,0.454731173993585
"11897","w_46_188.5",0.0712761235157281,0.49271145086097
"5826","w_24_232.5",0.0712610657805492,0.418716603662354
"2823","w_14_178.5",0.0712458604984363,0.267355961985899
"791","w_7_259",0.0712263541432961,0.26376676240249
"8349","w_33_199",0.0712010227767061,0.443383272022464
"4664","w_20_234.5",0.0711889729383371,0.381290559798816
"10032","w_39_218",0.0711590605098299,0.513949116958735
"672","w_7_150",0.0711202205756976,0.181182835627475
"14523","w_56_189.5",0.0710867646092407,0.50835639609601
"757","w_7_228",0.0710611830540719,0.249905540519568
"1394","w_9_251",0.0710238535944457,0.313332016005196
"8348","w_33_198",0.0709986652583147,0.44415844568555
"8358","w_33_207",0.0709952693263926,0.445222125919986
"11088","w_43_186",0.0709702357559344,0.453098439409398
"15294","w_59_192",0.0709400965018304,0.512695848588083
"10816","w_42_185.5",0.0708754973705589,0.44091416073945
"11896","w_46_187.5",0.0708423571134156,0.488395851126981
"3173","w_15_224",0.0708389365648393,0.374226775057111
"8653","w_34_220.5",0.0708307385996025,0.496073747003079
"2225","w_12_180.5",0.0707810504002409,0.258882685733842
"8934","w_35_223",0.0707742470511185,0.496575489886944
"12961","w_50_190.5",0.0707715907970884,0.498534912465533
"7508","w_30_201.5",0.0707670603193362,0.436460271997134
"1146","w_8_303.5",0.0707662067950725,0.352700992837586
"5775","w_24_186.5",0.0707640049510191,0.315144650998137
"6402","w_26_232.5",0.0707262563576545,0.439563044414689
"12432","w_48_190.5",0.0707134173904094,0.491899089314196
"2293","w_12_242.5",0.0707060327536304,0.367925378341869
"30","w_5_126",0.0707049466543923,0.176070512340899
"953","w_8_128.5",0.070703565915556,0.198179294261998
"7522","w_30_214.5",0.0707021636173926,0.430238583231405
"15040","w_58_193.5",0.0707013482051588,0.513897167053944
"15036","w_58_189.5",0.0706963649691523,0.506973467051892
"4663","w_20_233.5",0.0706421757802593,0.370756019127585
"5819","w_24_226.5",0.0706391906335802,0.434726636779908
"484","w_6_259.5",0.0706339235075644,0.245934583369579
"2851","w_14_203.5",0.0706226641135383,0.348535781500928
"11626","w_45_185",0.0706057572967782,0.452812046506601
"5244","w_22_230.5",0.0705839076040149,0.391071394487087
"7206","w_29_185",0.0705654440430329,0.332435778745586
"3421","w_16_179.5",0.0705391272771717,0.279912969550661
"2295","w_12_244.5",0.0705345516939115,0.374715632921807
"9207","w_36_219.5",0.0705306550236751,0.507798282063375
"7490","w_30_185.5",0.0705134233423331,0.334570516738976
"13486","w_52_190.5",0.0705112866028863,0.505699698078027
"11895","w_46_186.5",0.0705041913887292,0.476013886051231
"84","w_5_175",0.0704518023824501,0.179931795707469
"1581","w_10_145.5",0.0704287162310477,0.188718740903637
"7239","w_29_215",0.0704271127879582,0.426795346817616
"11356","w_44_184.5",0.0704208606115129,0.44025446328396
"6404","w_26_234.5",0.0703883337678564,0.444505304477738
"14526","w_56_192.5",0.07037636868979,0.509051253677975
"1967","w_11_220",0.0703713953282482,0.334132258833562
"1927","w_11_184",0.0703665662091089,0.277444979271606
"4036","w_18_199.5",0.0703035863709781,0.320554345264718
"6689","w_27_233",0.0702990030592351,0.449494691406709
"12428","w_48_186.5",0.0702845570118754,0.484507661176728
"4017","w_18_181.5",0.0702740856736985,0.281677537987107
"1923","w_11_180",0.0702683520757441,0.247097045989069
"4660","w_20_230.5",0.0702645273178756,0.373834336629912
"4956","w_21_234",0.0702475571232506,0.383640381072034
"15548","w_60_192.5",0.0702470243514537,0.509617524772038
"5524","w_23_221",0.070238185487539,0.428104741429842
"4337","w_19_204",0.0702380195803294,0.378477645892353
"7512","w_30_205.5",0.0702325578022511,0.421127604990961
"7544","w_30_234.5",0.0702233235907326,0.480053745165433
"9481","w_37_217",0.0702220356930311,0.506415816924416
"9447","w_37_186",0.0701919904256353,0.383884679862383
"7225","w_29_202",0.0701618437457848,0.426209725415027
"707","w_7_182",0.0701561855495205,0.255661698729656
"226","w_5_303",0.0701159105610574,0.294640471699938
"10271","w_40_185.5",0.0700974862122294,0.414690378302987
"1063","w_8_228.5",0.0700878789377566,0.25470379209893
"3480","w_16_232.5",0.0700857304599997,0.329486553097215
"1036","w_8_203.5",0.0700853305498729,0.279960391986855
"2490","w_13_148",0.0700281419151377,0.202051028141799
"11358","w_44_186.5",0.0700210128411343,0.459709875740173
"1335","w_9_198",0.0700154624456442,0.250327050628224
"1989","w_11_240",0.0700047507790761,0.337504746746214
"15296","w_59_194",0.0699876209116274,0.512945471108602
"3202","w_15_250",0.0699190212886088,0.370276056795396
"4634","w_20_207.5",0.0699180989666764,0.394492591445142
"5531","w_23_228",0.0699109668007617,0.417604958461194
"4955","w_21_233",0.0698634652806479,0.379961206694813
"1013","w_8_182.5",0.0698619520379491,0.267130328607666
"33","w_5_129",0.0698587763988677,0.186812113525826
"14006","w_54_189.5",0.0698576622860588,0.499513056489661
"4014","w_18_179.5",0.0698515378317214,0.290952379388775
"15038","w_58_191.5",0.0698400199463365,0.503929792063362
