"","namestmax","r2","es"
"7607","w_30_291.5",0.0775178627555831,0.242650141088949
"7606","w_30_290.5",0.0774828439402466,0.248087216325897
"3252","w_15_296",0.077453572825124,0.223185453289304
"7889","w_31_291",0.0772197320549838,0.245584138860668
"4721","w_20_286.5",0.0771990478645374,0.232323494128341
"8451","w_33_291",0.0771010318098415,0.247005588864678
"1133","w_8_291.5",0.0770785060551655,0.203735384338782
"7038","w_28_290.5",0.0770520397458163,0.243453753800134
"1279","w_9_147",0.0769765767347325,0.226087631488535
"7322","w_29_290",0.0765643455048757,0.245661647469616
"215","w_5_294",0.0765627178125636,0.218625055338075
"974","w_8_147.5",0.0764648729885833,0.221102381775136
"703","w_7_179",0.0763566414231808,0.191954330771745
"4733","w_20_297.5",0.0763407254415178,0.216230446579408
"815","w_7_280",0.0762271932050351,0.177455018580899
"4131","w_18_285.5",0.0761186514020283,0.222405422514893
"2652","w_13_295",0.0760015980101805,0.224409324133674
"5306","w_22_287.5",0.0759666237488024,0.235342302899139
"3551","w_16_297.5",0.0758788684439182,0.214147115876608
"3253","w_15_297",0.0758544332835425,0.216137809737239
"5013","w_21_286",0.075802674703876,0.231920920067112
"7608","w_30_292.5",0.0756847583292339,0.234236330355433
"361","w_6_147.5",0.0756729813317353,0.207383929809203
"8731","w_34_291.5",0.0756590830345906,0.242838074524398
"4441","w_19_299",0.0756291233493461,0.210606668812477
"536","w_6_305.5",0.0755200696899415,0.16818238822576
"8453","w_33_293",0.0755060755246184,0.237390790631618
"5014","w_21_287",0.0754331880004936,0.230161973223493
"830","w_7_294",0.075329344065195,0.218884095330735
"8732","w_34_292.5",0.0753016591525638,0.240282479835317
"1745","w_10_294.5",0.0753003185071182,0.223059870298158
"1121","w_8_280.5",0.0752257379610457,0.181750765090427
"214","w_5_293",0.075182146182307,0.203072184737589
"7888","w_31_290",0.0751732326811875,0.245119385930206
"5027","w_21_299",0.0751019732961953,0.214985126340951
"3835","w_17_285",0.0750672390675414,0.216661121272395
"8170","w_32_290.5",0.0750624635979517,0.243126941995888
"30","w_5_126",0.0750031608101388,0.209850791210653
"6752","w_27_290",0.074977234664414,0.237184227231271
"3849","w_17_298",0.0749269797493272,0.209564165906229
"705","w_7_180",0.0748669135885374,0.194478870015355
"1276","w_9_144",0.0748047638932104,0.223705740258995
"5596","w_23_287",0.0747900460803899,0.235171343980428
"8730","w_34_290.5",0.0746833908443403,0.243086468580947
"535","w_6_304.5",0.0746246610792125,0.16386143202545
"1136","w_8_294.5",0.0746097918095053,0.223312109235314
"4426","w_19_285",0.0746063922169303,0.222077393278399
"7036","w_28_289.5",0.0744286185494716,0.239000471901592
"4427","w_19_286",0.0744280782879726,0.221468793373846
"665","w_7_144",0.0743425558475139,0.21737519091494
"5026","w_21_298",0.0742326004835948,0.211732014803487
"1011","w_8_180.5",0.0742234684314464,0.198197992223939
"7891","w_31_293",0.0742143940505995,0.23032886330253
"5305","w_22_286.5",0.0741936829024249,0.229930472904798
"7604","w_30_289.5",0.0741395920314634,0.242233790321679
"1277","w_9_145",0.0741065727755921,0.221640635830618
"4143","w_18_296.5",0.0739646684782586,0.214027414710975
"7325","w_29_293",0.0738762190429189,0.227757634264131
"7039","w_28_291.5",0.0737662662401106,0.232587535680715
"2953","w_14_296.5",0.0737073728234958,0.211889137918457
"1009","w_8_179.5",0.0736399248077488,0.1918235352552
"29","w_5_125",0.0735999154815866,0.210376551118593
"7324","w_29_292",0.073544450369604,0.230164720062786
"3847","w_17_296",0.0735440750782678,0.214489556879411
"4130","w_18_284.5",0.0735249683320149,0.21646261626955
"4439","w_19_297",0.07343600981663,0.210810262404434
"9010","w_35_292",0.0734312340700528,0.238277560626184
