"","namestmean","r2","es"
"7035","w_28_288.5",0.142553473336848,0.696239191242123
"1745","w_10_294.5",0.1425238338216,0.58573864912222
"1442","w_9_295",0.142272888432283,0.588857160554119
"7039","w_28_291.5",0.141922199180618,0.667580076143991
"2350","w_12_294.5",0.141578818034036,0.598552731446431
"8730","w_34_290.5",0.141557665511697,0.70048962865575
"7886","w_31_289",0.141454200210001,0.702514184879829
"7324","w_29_292",0.141400227364126,0.664694777439931
"4131","w_18_285.5",0.141362953103985,0.621300239472572
"5888","w_24_289.5",0.14074000488309,0.664386861983536
"5305","w_22_286.5",0.140535232057501,0.657509896885098
"2047","w_11_293",0.140107101797532,0.588977082766098
"7034","w_28_287.5",0.140012582918232,0.694321746800581
"6753","w_27_291",0.139920755077529,0.663303999782339
"4427","w_19_286",0.1398349159331,0.627922835276454
"7603","w_30_288.5",0.139711876869695,0.695164467103123
"832","w_7_296",0.139482938960985,0.573182670021944
"5013","w_21_286",0.139418031846779,0.646100988994083
"7319","w_29_288",0.139327358548421,0.695077310554535
"8452","w_33_292",0.139151602557484,0.679076998554723
"6178","w_25_290",0.139026993618451,0.661273836977691
"8172","w_32_292.5",0.13888252348434,0.66596158095964
"6466","w_26_290.5",0.138775406356567,0.658773959205142
"4723","w_20_288.5",0.138648545168796,0.644338186792858
"7608","w_30_292.5",0.138403863880946,0.655097651134692
"8731","w_34_291.5",0.138193285000257,0.685052634897609
"5016","w_21_289",0.137437192368189,0.645863101655553
"5595","w_23_286",0.137368633876614,0.658105425868566
"4426","w_19_285",0.137339090199092,0.620710467032214
"831","w_7_295",0.137287293474934,0.566525087368601
"5308","w_22_289.5",0.136703279445912,0.647538768921802
"2049","w_11_295",0.136530908976735,0.571744559769472
"8728","w_34_289.5",0.13647346019106,0.694999023395956
"4720","w_20_285.5",0.136239164570574,0.628009018160019
"9006","w_35_289",0.136193058340786,0.710377064611531
"5304","w_22_285.5",0.13602609992469,0.646463491872038
"8448","w_33_289",0.13601731633819,0.693939628908494
"2349","w_12_293.5",0.135829102446781,0.583238878077649
"9009","w_35_291",0.135821710380431,0.685109259382846
"4722","w_20_287.5",0.135721515452005,0.629033019189183
"1746","w_10_295.5",0.135704535284342,0.574151196799958
"8727","w_34_288.5",0.135688324925993,0.709503069220043
"3835","w_17_285",0.134887034281975,0.596680417129914
"1134","w_8_292.5",0.134814865897178,0.54364140446645
"1440","w_9_293",0.134748012474424,0.556192348972893
"4428","w_19_287",0.134520448478219,0.617160228305938
"6754","w_27_292",0.134439858028014,0.640542183722869
"9008","w_35_290",0.134360775777689,0.687430555419711
"9284","w_36_289.5",0.13415799181833,0.70253925804699
"7040","w_28_292.5",0.134131868450083,0.638384344532339
"5884","w_24_285.5",0.133880250948311,0.658759174073771
"6460","w_26_285.5",0.133874750694808,0.676517622756264
"6746","w_27_285",0.133856614838025,0.697922730966311
"4719","w_20_284.5",0.133549307837808,0.62091424252743
"7033","w_28_286.5",0.133540945654224,0.682016796676228
"7317","w_29_286",0.133409800528598,0.701391965158253
"6747","w_27_286",0.133362222274948,0.678025456019503
"7032","w_28_285.5",0.133235562401851,0.698020628081366
"506","w_6_279.5",0.133201713219244,0.451209438361639
"8167","w_32_288.5",0.133195518907336,0.685481256264288
"8732","w_34_292.5",0.133085329359723,0.666829840796191
"8447","w_33_288",0.132910089386648,0.701589890835221
"5600","w_23_290",0.132802731289323,0.637662233010723
"5012","w_21_285",0.132771085627074,0.628460127149714
"8453","w_33_293",0.13258312110967,0.653022810021473
"5594","w_23_285",0.132423551402454,0.647397212698456
"9010","w_35_292",0.132369552933698,0.673341406984744
"3836","w_17_286",0.132362123596822,0.590899069370345
"6467","w_26_291.5",0.132308567313272,0.636189621051085
"7891","w_31_293",0.13209673555226,0.639039776028993
"2651","w_13_294",0.131657255224003,0.572743893466739
"198","w_5_279",0.131416810062828,0.435159861847801
"1138","w_8_296.5",0.131409058318604,0.556842349526207
"7325","w_29_293",0.131332439427401,0.629352993804223
